Product_name,Price,Product_Link
'Speakers',6993 ,https://www.myntra.com/speakers/jbl/jbl-flip4-black-speakers/2189307/buy
'Bluetooth Speaker',1299 ,https://www.myntra.com/speakers/philips/philips-black-bluetooth-speaker/2063388/buy
'Extreme Bluetooth Speakers',21741,https://www.myntra.com/speakers/jbl/jbl-red-extreme-bluetooth-speakers/2025363/buy
'Bluetooth Speaker with FM',1299 ,https://www.myntra.com/speakers/philips/philips-black-bluetooth-speaker-with-fm/2063392/buy
'Pixel Pop Bluetooth Speaker',2099 ,https://www.myntra.com/speakers/philips/philips-grey-pixel-pop-printed-bluetooth-speaker/2063383/buy
'Portable Wireless Speaker',8091 ,https://www.myntra.com/speakers/sony/sony-green-portable-wireless-bluetooth-speaker-srs-xb20/2205702/buy
'Bluetooth Speaker',1299 ,https://www.myntra.com/speakers/philips/philips-grey-bluetooth-speaker/2063389/buy
'Rugby Portable Speaker',1795 ,https://www.myntra.com/speakers/boat/boat-black-rugby-wireless-portable-speaker/2041938/buy
'Bluetooth Portable Speaker',1299 ,https://www.myntra.com/speakers/philips/philips-white-bluetooth-portable-speaker/2063390/buy
'Printed Wireless Speaker',1494 ,https://www.myntra.com/speakers/boat/boat-blue-stone-260-printed-wireless-speaker/2041932/buy
'Bluetooth Speaker',1299 ,https://www.myntra.com/speakers/philips/philips-blue--green-bluetooth-speaker/2063387/buy
'Portable Speaker',2274 ,https://www.myntra.com/speakers/philips/philips-white--black-bluetooth-portable-speaker/2063403/buy
'Portable Speaker',2274 ,https://www.myntra.com/speakers/philips/philips-black-bluetooth-portable-speaker/2063401/buy
'Bluetooth Portable Speaker',4224 ,https://www.myntra.com/speakers/philips/philips-black-bluetooth-portable-speaker/2063385/buy
'Wireless Speaker',1494 ,https://www.myntra.com/speakers/boat/boat-black-stone-260-printed-wireless-speaker/2041933/buy
'Portable Speaker',3899 ,https://www.myntra.com/speakers/philips/philips-black-wireless-portable-speaker/2063399/buy
'Tune Bluetooth Speakers',3893 ,https://www.myntra.com/speakers/jbl/jbl-black-tune-bluetooth-speakers/2025357/buy
'Bluetooth Speaker with FM',1299 ,https://www.myntra.com/speakers/philips/philips-blue-bluetooth-speaker-with-fm/2063391/buy
'Clip 2 Bluetooth Speaker',4391 ,https://www.myntra.com/speakers/jbl/jbl-black-clip-2-bluetooth-speaker/2025364/buy
'Portable Bluetooth speaker',3149 ,https://www.myntra.com/speakers/jbl/jbl-blue-clip-2-portable-bluetooth-speaker/2189306/buy
'Mini Bluetooth Speaker',2404 ,https://www.myntra.com/speakers/skullcandy/skullcandy-grey--green-barricade-mini-bluetooth-speaker-s7pbw-j583/2123811/buy
'Go Bluetooth Speaker',2896 ,https://www.myntra.com/speakers/jbl/jbl-black-go-bluetooth-speaker/2025343/buy
'Portable Bluetooth Speaker',2399 ,https://www.myntra.com/speakers/philips/philips-black-portable-bluetooth-speaker/2063396/buy
'Wireless Portable Speaker',2274 ,https://www.myntra.com/speakers/philips/philips-blue-wireless-portable-speaker/2171360/buy
'Scoop Speaker',2099 ,https://www.myntra.com/speakers/samsung/samsung-white-scoop-speaker/2081393/buy
'Pixel Pop Bluetooth Speaker',2099 ,https://www.myntra.com/speakers/philips/philips-red-pixel-pop-printed-bluetooth-speaker/2063384/buy
'Go Bluetooth Speaker',2896 ,https://www.myntra.com/speakers/jbl/jbl-red-go-bluetooth-speaker/2025344/buy
'Wireless Portable Speaker',1874 ,https://www.myntra.com/speakers/philips/philips-white-wireless-portable-speaker/2063381/buy
'Bluetooth Speaker',1463 ,https://www.myntra.com/speakers/swiss-military/swiss-military-5-in-1-wireless-bluetooth-speaker/2047189/buy
'Bluetooth Speaker with FM',1299 ,https://www.myntra.com/speakers/philips/philips-white-bluetooth-speaker-with-fm/2063394/buy
'Bluetooth HD Bass Speakers',1795 ,https://www.myntra.com/speakers/soundbot/soundbot-black-portable-bluetooth-hd-bass-speakers/2041953/buy
'Stone 200 Portable Speaker',1369 ,https://www.myntra.com/speakers/boat/boat-black-stone-200-wireless-portable-speaker/2041937/buy
'Portable Wireless Speakers',15291,https://www.myntra.com/speakers/sony/sony-black-portable-wireless-bluetooth-speakers-srs-xb40/2205695/buy
'Wireless Speakers',11249,https://www.myntra.com/speakers/jbl/jbl-black-playlist-wireless-speakers/2189310/buy
'Clip 2 Bluetooth Speaker',4391 ,https://www.myntra.com/speakers/jbl/jbl-blue-clip-2-bluetooth-speaker/2025365/buy
'Portable Speaker',2999 ,https://www.myntra.com/speakers/philips/philips-black-wireless-portable-speaker/2063398/buy
'Clip 2 Bluetooth Speaker',4491 ,https://www.myntra.com/speakers/jbl/jbl-blue-clip-2-bluetooth-speaker/2025367/buy
'Tune Bluetooth Speakers',3893 ,https://www.myntra.com/speakers/jbl/jbl-silver-toned-tune-bluetooth-speakers/2025358/buy
'Unisex Stone Speakers 700',2394 ,https://www.myntra.com/speakers/boat/boat-unisex-olive-green--black-stone-speakers-700/2172176/buy
'Bluetooth Speaker',2099 ,https://www.myntra.com/speakers/philips/philips-blue-bluetooth-speaker/2063382/buy
'Bluetooth Wireless Speaker',7799 ,https://www.myntra.com/speakers/skullcandy/skullcandy-grey--lime-green-barricade-xl-bluetooth-wireless-portable-speaker-s7pdw-j583/2063722/buy
'Wireless Portable Speaker',3899 ,https://www.myntra.com/speakers/skullcandy/skullcandy-barricade-wireless-portable-speaker-s7pcw-j582/2082242/buy
'Portable Speaker',2099 ,https://www.myntra.com/speakers/philips/philips-pink--black-bluetooth-portable-speaker/2063400/buy
'Tune Bluetooth Speakers',3893 ,https://www.myntra.com/speakers/jbl/jbl-orange-tune-bluetooth-speakers/2025360/buy
'Rugby Portable Speaker',1795 ,https://www.myntra.com/speakers/boat/boat-blue--black-rugby-wireless-portable-speaker/2041939/buy
'NFC Bluetooth Speaker',4899 ,https://www.myntra.com/speakers/philips/philips-charcoal-grey-nfc-bluetooth-speaker/2063386/buy
'Tune Bluetooth Speakers',3893 ,https://www.myntra.com/speakers/jbl/jbl-blue-tune-bluetooth-speakers/2025359/buy
'Mini Bluetooth Speaker',2404 ,https://www.myntra.com/speakers/skullcandy/skullcandy-black-barricade-mini-bluetooth-speaker-s7pbw-j582/2123814/buy
'Portable Wireless Speaker',8091 ,https://www.myntra.com/speakers/sony/sony-black-portable-wireless-bluetooth-speaker-srs-xb20/2205699/buy
'Portable Wireless Speaker',8091 ,https://www.myntra.com/speakers/sony/sony-red-portable-wireless-bluetooth-speaker-srs-xb20/2205701/buy
'Bluetooth Speaker',7799 ,https://www.myntra.com/speakers/skullcandy/skullcandy-barricade-xl-waterproof-bluetooth-speaker-s7pdw-j582/2063721/buy
'Slim Bluetooth Speaker',5024 ,https://www.myntra.com/speakers/samsung/samsung-red-level-box-slim-bluetooth-speaker/2081392/buy
'Stone 200 Wireless Speaker',1369 ,https://www.myntra.com/speakers/boat/boat-blue--black-stone-200-wireless-speaker/2041936/buy
'Bluetooth Speaker with FM',1399 ,https://www.myntra.com/speakers/philips/philips-red-bluetooth-speaker-with-fm/2063393/buy
'Stone 200 Wireless Speaker',1369 ,https://www.myntra.com/speakers/boat/boat-orange--black-stone-200-wireless-speaker/2041935/buy
'Wireless Portable Speaker',1874 ,https://www.myntra.com/speakers/philips/philips-black-wireless-portable-speaker/2063380/buy
'Wireless Portable Speaker',2593 ,https://www.myntra.com/speakers/boat/boat-grey-wireless-portable-speaker/2041941/buy
'Bluetooth Click 2 Speaker',1919 ,https://www.myntra.com/speakers/x-mini/x-mini-bluetooth-click-2-speaker/2126409/buy
'Portable Speaker',2274 ,https://www.myntra.com/speakers/philips/philips-grey-bluetooth-portable-speaker/2063402/buy
'Slim Bluetooth Speaker',4354 ,https://www.myntra.com/speakers/samsung/samsung-blue-level-box-slim-bluetooth-speaker/2081391/buy
'Portable Wireless Speaker',8091 ,https://www.myntra.com/speakers/sony/sony-blue-portable-wireless-bluetooth-speaker-srs-xb20/2205700/buy
'Pitcher Portable Speaker',2194 ,https://www.myntra.com/speakers/boat/boat-green-pitcher-wireless-portable-speaker/2041940/buy
'Portable Bluetooth Speaker',3149 ,https://www.myntra.com/speakers/philips/philips-black-portable-bluetooth-speaker/2063397/buy
'Slim Bluetooth Speaker',5024 ,https://www.myntra.com/speakers/samsung/samsung-black-level-box-slim-bluetooth-speaker/2081390/buy
'Bluetooth Speaker',3595 ,https://www.myntra.com/speakers/x-mini/x-mini-grey-bluetooth-speaker/2126412/buy
'KAI X1 Speaker',2695 ,https://www.myntra.com/speakers/x-mini/x-mini-bluetooth-kai-x1-speaker/2126411/buy
'Unisex v',2495 ,https://www.myntra.com/speakers/x-mini/x-mini-unisex-grey-bluetooth-speaker/2126410/buy
'Portable Wireless Speakers',11691,https://www.myntra.com/speakers/sony/sony-red-portable-wireless-bluetooth-speakers-srs-xb30/2205698/buy
'Portable Wireless Speakers',11691,https://www.myntra.com/speakers/sony/sony-blue-portable-wireless-bluetooth-speakers-srs-xb30/2205697/buy
'Unisex Bluetooth Speaker',5694 ,https://www.myntra.com/speakers/x-mini/x-mini-unisex-grey-bluetooth-speaker/2126413/buy
'Portable Wireless Speakers',11691,https://www.myntra.com/speakers/sony/sony-black-portable-wireless-bluetooth-speakers-srs-xb30/2205696/buy
